word_portuguese,translate_word_english,cgram,familiar_mean,concrete_mean,imagine_mean,aoa_mean,aoa_sd,length,silo_n,phonemes,silphom_n,ond,oup,phoneme_density,phonome_up,frequency,frequency_log
Barraca,shack,no,NA,NA,NA,5.21,1.55,7,3,6,3,3,7,3,6,441,2.86
Barreira,barrier,no,NA,NA,NA,5.68,1.37,8,3,7,3,3,8,4,7,440,2.65
Batata,potato,no,1.7,NA,NA,2.18,1.36,6,3,6,3,3,6,4,5,576,2.64
Beleza,beauty,no,NA,NA,NA,4.38,1.41,6,3,6,3,0,5,0,4,1107,2.76
Bilhete,ticket,no,NA,NA,NA,4.16,1.49,7,3,6,3,0,7,0,6,684,3.04
Bocado,piece,no,NA,NA,NA,3.44,1.62,6,3,6,3,1,5,3,5,2373,2.84
Bombeiro,fireman,no,1.65,NA,NA,3.44,1.15,8,3,7,3,0,5,1,5,1070,3.38
Cabeça,head,no,1.26,NA,NA,1.65,0.66,6,3,6,3,2,6,2,6,4663,3.03
Cadáver,body,no,NA,NA,NA,7.23,1.21,7,3,7,3,0,4,0,5,428,3.67
Cadeia,prison,no,NA,NA,NA,4.45,1.81,6,3,6,3,4,6,2,6,891,2.63
Cadeira,chair,no,1.95,NA,NA,2.28,1.13,7,3,7,3,8,7,6,7,1138,2.95
Cálculo,calculation,no,NA,NA,NA,5.44,1.37,7,3,7,3,0,5,0,7,675,3.06
Camada,layer,no,3.07,4.12,2.71,5.56,1.36,6,3,6,3,7,5,8,5,775,2.83
Camião,truck,no,1.9,6.52,6.46,4.28,1.28,6,3,6,2,1,5,0,5,513,2.89
Camisa,shirt,no,1.37,NA,NA,3.36,1.47,6,3,6,3,0,6,1,6,539,2.71
Capital,capital,no,NA,NA,NA,6.19,1.82,7,3,7,3,1,7,1,6,3580,2.73
Carácter,character,no,NA,NA,NA,7.32,1.12,8,3,7,3,0,4,0,6,1840,3.55
Carreira,career,no,NA,NA,NA,5.88,1.65,8,3,7,3,5,8,6,7,1366,3.27
Castelo,castle,no,NA,NA,NA,3.48,1.91,7,3,7,3,1,7,0,5,674,3.14
Cavalo,horse,no,1.11,6.68,6.77,2.78,1.31,6,3,6,3,4,6,3,6,1559,2.83
Centena,hundred,no,NA,NA,NA,5.04,0.81,7,3,6,3,1,7,1,4,1301,3.19
Céptico,sceptical,no,NA,NA,NA,8.23,1.07,7,3,6,3,1,3,4,5,83,3.11
Certeza,certainty,no,NA,NA,NA,5.21,1.44,7,3,7,3,1,6,1,5,1924,1.92
Chamada,call,no,NA,NA,NA,4.65,1.44,7,3,6,3,2,6,5,5,886,3.28
Cidadão,citizen,no,NA,NA,NA,6.07,1.31,7,3,7,3,0,6,0,6,1689,2.95
Ciência,science,no,NA,NA,NA,6.27,1.5,7,3,6,2,0,3,0,4,6914,3.23
Cinema,cinema,no,NA,NA,NA,4.51,1.4,6,3,6,3,0,6,1,5,1686,3.84
Circuito,circuit,no,NA,NA,NA,6.54,1.43,8,3,8,3,0,6,0,6,1424,3.23
Círculo,circle,no,NA,NA,NA,5.02,2.21,7,3,7,3,0,4,0,7,718,3.15
Cliente,client,no,NA,NA,NA,4.98,1.38,7,3,6,2,1,7,0,6,1324,2.86
Colégio,private school,no,NA,NA,NA,4.1,1.74,7,3,7,3,0,5,0,5,438,3.12
Combate,combat,no,NA,NA,NA,5.33,1.33,7,3,6,3,1,7,0,4,994,2.64
Começo,start,no,NA,NA,NA,4.62,1.56,6,3,6,3,0,6,1,5,595,3
Comércio,commerce,no,NA,NA,NA,5.36,1.21,8,3,8,3,0,5,0,5,1788,2.78
Comida,food,no,NA,NA,NA,1.76,1.17,6,3,6,3,0,5,3,5,527,3.25
Comissão,comission,no,NA,NA,NA,7.02,1.44,8,3,7,3,1,7,4,6,1296,2.72
Complexo,complex,no,NA,NA,NA,6.48,1.91,8,3,8,3,2,8,0,8,838,3.11
Conceito,concept,no,NA,NA,NA,6.38,1.59,8,3,7,3,2,8,1,7,1128,2.92
Concerto,concert,no,NA,NA,NA,5.72,1.62,8,3,7,3,2,8,0,4,980,3.05
