word_italian,translate_word_english,aoa_mean,aoa_sd,familiar_mean,familiar_sd,imagine_mean,imagine_sd,concrete_mean,concrete_sd,frequency_ilc_adult_written,frequency_colfis_adult_written,frequency_totfq_child_written,frequency_compfq_child_written,frequency_prodfq_child_written,frequency_spkfq_adult_spoken,n,bigram,syllables,length,phonome_stress,phoneme_voice,mann,voiced,stop,nasal,fricative,affricate,liquid,bilabial,labiodental,dental,alveolar,palatal,velar,vowel,rt_mean
cinghiale,wild boar,3.75,1.12,5.95,1.28,5.68,1.39,4.95,2.25,2,3,31,21,10,0,0,10.67,3,9,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,616
cipresso,cypress,3.89,1.08,5.02,1.61,5.68,1.46,6.23,1.63,4,1,0,0,0,0,0,10.86,3,8,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,557
cipria,powder,4.8,1.44,5.32,1.55,5.61,1.38,6.09,1.44,13,7,0,0,0,0,0,10.91,2,6,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,533
circo,circus,2.5,1.02,6.48,0.79,5.8,1.44,4.61,2.12,47,45,50,32,18,7,1,10.94,2,5,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,517
cisterna,water tank,5.64,1.24,4.7,1.56,4.73,1.66,6.57,0.85,3,18,0,0,0,0,0,11.05,3,8,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,583
ciuffo,tuft,3.7,1.11,5.7,1.49,4.57,1.86,5.48,1.73,13,30,35,21,14,0,0,9.93,2,6,p,voiceless,affricate,0,0,0,0,1,0,0,0,0,0,1,0,0,560
clero,clergy,5.59,1.13,4.23,1.96,3.75,1.83,4.48,1.87,3,16,0,0,0,0,1,10.96,2,5,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,593
clima,climate,4.23,1.24,6.07,1.32,3.82,1.93,4.32,2.05,130,233,51,35,16,20,0,10.69,2,5,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,555
cocomero,watermelon,2.7,1.07,6.48,1.02,6.48,0.79,6.52,1.32,2,5,0,0,0,2,0,11.17,4,8,ap,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,594
codice,code,5.61,1.24,5.23,1.64,3.45,2.01,2.84,1.74,20,212,14,13,1,39,0,10.95,3,6,ap,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,526
cofano,bonnet,4.41,1.19,5.8,1.46,5.59,1.6,6,1.38,3,9,0,0,0,0,0,10.95,3,6,ap,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,537
