word_galician,translate_word_english,valence_mean,valence_sd,valence_n,arousal_mean,arousal_sd,arousal_n,concrete_mean,concrete_sd,concrete_n,imagine_mean,imagine_sd,imagine_n,aoa_mean,aoa_sd,aoa_n
afastado,distant,2.7777777777777777,2.279132388529557,9,4.785714285714286,2.7225149975873246,14,4.214285714285714,2.4235565546581275,14,4.857142857142857,2.656114653953224,14,6.7894736842105265,2.780466534962574,19
afección,affection,7.5,1.5063966175050876,14,4.923076923076923,2.660248687044705,13,3.5,1.9903613896824017,14,6.636363636363637,2.1574395598823752,11,10.142857142857142,4.073500533129534,14
afirmación,statement,7.071428571428571,1.6391501416322996,14,5.3076923076923075,1.7504578155735615,13,3.5555555555555554,2.7888667551135855,9,5.714285714285714,2.8670159085328106,14,6.785714285714286,2.2592909516916158,14
aforro,savings,6.357142857142857,2.3074175660629397,14,6.230769230769231,3.345490650458867,13,4.5,2.472930370104386,14,4.833333333333333,2.7579087378048985,12,10.785714285714286,4.003432593097145,14
agosto,august,7.75,1.5447859516333116,12,5.076923076923077,3.5463957868409266,13,5.434782608695652,3.230903152040558,23,7.714285714285714,1.3259870882635927,14,4.785714285714286,1.2513728724621067,14
agrario,agrarian,5.714285714285714,2.12778582744423,14,5.666666666666667,1.4354811251305475,12,5.285714285714286,2.6436737675081976,14,4.928571428571429,2.3358176204584034,14,8.23076923076923,2.5545334262132924,13
agrícola,agricultural,6.333333333333333,1.7232808737106589,12,5.428571428571429,2.1018045621756603,14,7,1.8708286933869707,13,7.230769230769231,2.241794153271219,13,8.133333333333333,3.067494712224262,15
agricultura,agriculture,6.857142857142857,1.6574838603294886,14,4.846153846153846,2.3038429433649132,13,6.444444444444445,3.0046260628866577,9,7.785714285714286,1.625686668105864,14,7.928571428571429,2.6736401493753137,14
aire,air,6.833333333333333,1.585922922197517,12,4.588235294117647,3.4288996691615914,17,3.0476190476190474,2.7290326212083005,21,5.571428571428571,3.5019617735972313,14,5.136363636363637,2.1886167526644065,22
alcalde,mayor,4.153846153846154,1.5730095277394136,13,4.416666666666667,2.391588796113782,12,7.117647058823529,2.1471595463884507,17,7.476190476190476,2.6385421660274373,21,6.384615384615385,2.2188007849009166,14
alcance,reach,5.923076923076923,2.019139192062567,13,5.3076923076923075,2.2870874995874626,13,4,2.6186146828319083,15,3.75,2.598076211353316,12,9.642857142857142,2.134231724753678,14
alegría,joy,8.214285714285714,1.423893439647971,14,5.384615384615385,3.2796966714027467,13,3.5555555555555554,3.0046260628866577,9,7.142857142857143,2.213842564659668,14,5.076923076923077,1.8466879569262395,14
alento,encouragement,5.333333333333333,1.8257418583505542,12,4.454545454545454,1.5075567228888178,11,4.083333333333333,2.3143164446679725,12,4.357142857142857,2.0608863984346026,14,8.153846153846153,2.7942248133771037,13
alimentación,nutrition,6.769230769230769,2.0878156908535663,13,4.333333333333333,2.23606797749979,9,5.571428571428571,2.5933134645226996,14,7.428571428571429,1.3985864135061363,14,5.785714285714286,1.928673175989187,14
alimento,food,7.695652173913044,1.4596008983995226,23,5.285714285714286,2.8670159085328106,14,7.666666666666667,1.4974726182552518,12,8.466666666666667,0.9154754164341276,15,4.642857142857143,1.691933025458562,14
alleo,foreign,4.904761904761905,1.3749458863810566,21,4.416666666666667,2.5030284687057627,12,4.285714285714286,2.3996336716761073,14,3.857142857142857,2.537628901072897,14,10.071428571428571,3.452185165599089,14
alma,soul,7.260869565217392,1.5140971298358237,23,4.142857142857143,2.9575754846246527,14,2.5833333333333335,2.4293034292807376,12,4.466666666666667,2.774029216723951,15,8.928571428571429,2.0555473055307476,14
alternativa,alternative,7,1.7056057308448835,23,5.071428571428571,1.899971081329953,14,4.5,2.7942248133771033,14,4.083333333333333,2.3143164446679725,12,10,3.636730186804199,32
alternativo,alternative,5.384615384615385,1.804552647170555,13,6.833333333333333,2.0375267241229373,12,2.6363636363636362,2.157439559882375,11,4.666666666666667,2.640018365409031,12,9.714285714285714,4.008233284869291,14
alumno,student,5.642857142857143,1.5495479666983214,14,5,2.2962419891481978,23,8.285714285714286,1.2043875831929907,14,8.583333333333334,0.6685579234215189,12,4.8,2.5967012040004027,15
amante,lover,4.3076923076923075,2.1363760352762258,13,5.666666666666667,3.24037034920393,9,5.571428571428571,2.737609448863277,14,5.785714285714286,3.238674264110392,14,10.357142857142858,2.5602626925659524,14
ambiental,environmental,7,1.651445647689541,23,4.571428571428571,2.4718191903717615,14,4.5,2.8216198293778807,14,5.083333333333333,2.1514618004482164,12,9.064516129032258,3.234558021028198,32
ambiente,environment,6.6521739130434785,1.897574903352696,23,4.928571428571429,2.7022579081571405,14,3.5833333333333335,3.088345639315455,12,5.8,2.858571071607031,15,8.214285714285714,2.154729018428337,14
ámbito,field,6.153846153846154,2.075498086651083,13,4.5,1.8829377433825436,12,5.235294117647059,2.278415341984037,17,4.238095238095238,2.8089991439080557,21,9.214285714285714,2.5169753346357684,14
americano,american,5.714285714285714,1.9778998741311224,14,4.833333333333333,1.2673044646258482,12,5.214285714285714,2.7784492472924924,14,5.642857142857143,2.619663597227202,14,7.3076923076923075,1.6525039276108322,13
amigo,friend,8.428571428571429,0.9376144618769915,14,5.363636363636363,3.384456448906598,11,6.6,2.370875920747213,20,7.733333333333333,1.7511900715418252,15,3.7857142857142856,0.9749612559222294,14
amizade,friendship,8.777777777777779,0.44095855184409666,9,6.142857142857143,3.3016812234222277,14,4.785714285714286,3.332325855074141,14,6.214285714285714,2.7225149975873255,14,5.526315789473684,2.480331990606445,19
amo,master,6.785714285714286,3.3553303500909952,14,4.230769230769231,2.2417941532712202,13,4.153846153846154,2.853248261372578,13,6.4,2.3543273227945907,15,6.75,4.048007366144933,12
amor,love,7.866666666666666,2.1668498091095505,15,6.571428571428571,3.1553199451155436,14,4.428571428571429,3.5238590235113576,14,6.363636363636363,2.975658826973525,11,5.85,3.3289005613518134,20
ampliación,expansion,5.833333333333333,2.167249338901664,12,6.2727272727272725,2.6866674186027972,11,3,1.954016841836789,12,3.857142857142857,1.65748386032949,14,9.23076923076923,3.854734019225498,13
anaco,piece,5.571428571428571,1.9123657749350293,21,3.8333333333333335,2.037526724122938,12,5.5,2.139374459257443,14,6.5,1.9513309067639726,14,6.153846153846154,2.1543039806456377,14
análise,analysis,4.833333333333333,2.552479483786602,12,4.933333333333334,1.8309508328682538,15,5.5,2.5943726083138543,14,5.173913043478261,2.309115807030189,23,8.782608695652174,3.329708173660137,23
