word_chinese_simplified,word_pinyin,age_of_learning,aoa_mean,concrete_mean,familiar_mean,imagine_mean
父,fu4,2,2.62,6.77,6.93,6.85
付,fu4,6,4.33,4.69,6.5,4.87
妇,fu4,2,3.86,6.08,6.52,5.71
负,fu4,4,4.5,4.03,5.41,3.84
附,fu4,2,4.94,4.03,5.58,4.5
赴,fu4,10,5.35,4.62,6.28,4.61
副,fu4,5,4.53,3.44,6.22,3.65
傅,fu4,14,5.1,4.46,5.25,3.68
富,fu4,5,4.03,4.38,6.69,6.52
赋,fu4,13,5.65,4.74,5.84,3.94
缚,fu4,16,5.46,5.35,5.87,5.41
腹,fu4,5,4.38,6.46,6.58,6.3
覆,fu4,5,5.44,4.43,5.39,5.07
嘎,ga2,12,5.64,3.41,3.63,2.84
该,gai1,2,3.69,2.35,5.44,3.56
改,gai3,4,3.54,4.95,6.84,5.56
钙,gai4,15,5.51,5.1,6.67,5.41
盖,gai4,2,3.77,5.6,6.57,5.76
干,gan1,2,2.9,4.23,5.66,5.06
杆,gan1,4,3.9,6.77,6.48,5.97
肝,gan1,7,4.28,6.46,6.23,6.48
秆,gan3,5,5.34,5.58,3.9,4.89
赶,gan3,2,3.78,4.78,6.83,5.88
敢,gan3,2,3.59,3.35,5.97,4.65
擀,gan3,13,5.95,5.25,5.28,5.06
冈,gang1,6,4.38,4.69,5.06,4.18
岗,gang1,8,4.56,5.22,5.68,5.78
纲,gang1,6,4.72,4.11,5.29,4.14
缸,gang1,2,4,6.63,5.87,6.68
钢,gang1,3,4.2,6.58,6.71,6.23
港,gang3,5,4.85,6.08,6.34,5.68
杠,gang4,9,4.56,6.34,5.88,6.21
高,gao1,1,2.81,5.08,6.8,6.76
膏,gao1,13,4.42,6.14,6.17,6.18
糕,gao1,4,3.97,6.37,5.81,6.7
搞,gao3,6,4.66,3.76,6.17,4.79
稿,gao3,5,5.2,6.19,6.52,5
镐,gao3,18,6.31,4.55,4.34,4.25
告,gao4,2,3.44,4.86,6.63,5.32
戈,ge1,8,5.28,4.46,4.65,4.25
疙,ge1,4,5.57,4.95,4.2,5.54
哥,ge1,1,2.64,6.3,6.77,6.86
鸽,ge1,13,3.95,6.69,6.87,6.24
割,ge1,2,4.26,5.9,6.5,6.2
搁,ge1,6,4.69,4.92,5.8,5.75
歌,ge1,1,3.23,6.59,7,6.73
阁,ge2,7,5.11,5.4,5.84,5.24
革,ge2,3,4.72,2.58,5.69,3.35
格,ge2,4,3.92,5.2,6.48,5.56
隔,ge2,3,4.55,4.38,6.41,5.13
嗝,ge2,15,5.11,5.27,4.26,5.46
耕,geng1,9,4.64,5.68,6.33,5.79
梗,geng3,12,5.82,4.33,3.38,3.09
工,gong1,1,2.61,4.46,6.7,4.75
